236, 122, 120, 170
237, 120, 120, 170
237, 120, 120, 170
239, 119, 120, 170
239, 119, 120, 170
239, 120, 120, 170
236, 122, 120, 170
231, 128, 120, 170
227, 136, 120, 170
227, 136, 120, 170
227, 140, 120, 170
230, 140, 120, 170
234, 138, 120, 170
236, 132, 120, 170
236, 131, 120, 170
236, 121, 120, 170
235, 109, 120, 170
234, 95, 120, 170
232, 80, 120, 170
231, 77, 120, 170
232, 69, 120, 170
234, 61, 120, 170
236, 54, 120, 170
237, 49, 120, 170
237, 48, 120, 170
237, 48, 120, 170
238, 52, 120, 170
240, 58, 120, 170
240, 63, 120, 170
240, 63, 120, 170
238, 65, 120, 170
235, 62, 120, 170
235, 56, 120, 170
235, 52, 120, 170
235, 51, 120, 170
235, 50, 120, 170
234, 48, 120, 170
235, 46, 120, 170
237, 45, 120, 170
237, 45, 120, 170
236, 43, 120, 170
233, 40, 120, 170
228, 33, 120, 170
225, 29, 120, 170
225, 28, 120, 170
223, 30, 120, 170
220, 33, 120, 170
215, 34, 120, 170
214, 36, 120, 170
214, 36, 120, 170
220, 43, 120, 170
228, 53, 120, 170
235, 59, 120, 170
242, 62, 120, 170
243, 63, 120, 170
249, 68, 120, 170
252, 77, 120, 170
249, 87, 120, 170
241, 93, 120, 170
240, 93, 120, 170
233, 92, 120, 170
226, 86, 120, 170
220, 79, 120, 170
216, 75, 120, 170
215, 74, 120, 170
213, 74, 120, 170
212, 74, 120, 170
212, 73, 120, 170
212, 72, 120, 170
212, 72, 120, 170
213, 70, 120, 170
213, 69, 120, 170
214, 69, 120, 170
214, 69, 120, 170
214, 69, 120, 170
215, 72, 120, 170
217, 76, 120, 170
217, 81, 120, 170
214, 88, 120, 170
214, 89, 120, 170
210, 97, 120, 170
206, 102, 120, 170
201, 102, 120, 170
194, 101, 120, 170
193, 100, 120, 170
186, 102, 120, 170
179, 102, 120, 170
177, 99, 120, 170
176, 94, 120, 170
176, 94, 120, 170
176, 94, 120, 170
176, 96, 120, 170
177, 97, 120, 170
180, 95, 120, 170
180, 95, 120, 170
181, 93, 120, 170
178, 96, 120, 170
171, 101, 120, 170
164, 103, 120, 170
164, 103, 120, 170
161, 104, 120, 170
159, 104, 120, 170
156, 106, 120, 170
151, 109, 120, 170
150, 109, 120, 170
147, 112, 120, 170
147, 114, 120, 170
147, 110, 120, 170
144, 101, 120, 170
144, 101, 120, 170
141, 94, 120, 170
138, 87, 120, 170
136, 81, 120, 170
133, 75, 120, 170
133, 73, 120, 170
129, 66, 120, 170
128, 62, 120, 170
128, 61, 120, 170
132, 60, 120, 170
132, 60, 120, 170
134, 59, 120, 170
135, 61, 120, 170
137, 67, 120, 170
142, 74, 120, 170
143, 76, 120, 170
145, 81, 120, 170
145, 88, 120, 170
143, 96, 120, 170
144, 101, 120, 170
144, 102, 120, 170
149, 105, 120, 170
157, 107, 120, 170
163, 104, 120, 170
169, 100, 120, 170
170, 100, 120, 170
175, 94, 120, 170
180, 86, 120, 170
180, 74, 120, 170
176, 60, 120, 170
176, 58, 120, 170
171, 50, 120, 170
168, 44, 120, 170
168, 38, 120, 170
166, 31, 120, 170
166, 30, 120, 170
165, 24, 120, 170
165, 23, 120, 170
165, 26, 120, 170
163, 29, 120, 170
162, 29, 120, 170
155, 33, 120, 170
146, 42, 120, 170
140, 55, 120, 170
137, 64, 120, 170
137, 65, 120, 170
130, 70, 120, 170
125, 71, 120, 170
123, 70, 120, 170
122, 65, 120, 170
121, 64, 120, 170
118, 55, 120, 170
113, 45, 120, 170
108, 38, 120, 170
104, 35, 120, 170
104, 35, 120, 170
104, 39, 120, 170
108, 44, 120, 170
115, 47, 120, 170
125, 50, 120, 170
126, 50, 120, 170
135, 52, 120, 170
142, 53, 120, 170
147, 52, 120, 170
149, 50, 120, 170
149, 49, 120, 170
148, 45, 120, 170
148, 43, 120, 170
150, 47, 120, 170
153, 52, 120, 170
153, 52, 120, 170
157, 60, 120, 170
160, 67, 120, 170
162, 71, 120, 170
165, 73, 120, 170
166, 74, 120, 170
169, 74, 120, 170
170, 74, 120, 170
170, 73, 120, 170
171, 72, 120, 170
171, 72, 120, 170
172, 71, 120, 170
174, 73, 120, 170
178, 78, 120, 170
183, 84, 120, 170
184, 85, 120, 170
188, 87, 120, 170
191, 86, 120, 170
193, 86, 120, 170
194, 86, 120, 170
194, 86, 120, 170
193, 85, 120, 170
191, 85, 120, 170
188, 84, 120, 170
186, 81, 120, 170
185, 81, 120, 170
184, 79, 120, 170
183, 79, 120, 170
183, 79, 120, 170
183, 77, 120, 170
183, 77, 120, 170
183, 73, 120, 170
184, 68, 120, 170
185, 62, 120, 170
186, 58, 120, 170
186, 58, 120, 170
186, 59, 120, 170
187, 61, 120, 170
190, 63, 120, 170
193, 62, 120, 170
193, 62, 120, 170
196, 59, 120, 170
200, 56, 120, 170
204, 52, 120, 170
207, 47, 120, 170
208, 47, 120, 170
210, 42, 120, 170
210, 40, 120, 170
209, 40, 120, 170
208, 44, 120, 170
208, 44, 120, 170
206, 49, 120, 170
204, 55, 120, 170
202, 61, 120, 170
202, 64, 120, 170
202, 64, 120, 170
203, 67, 120, 170
205, 67, 120, 170
208, 63, 120, 170
212, 57, 120, 170
212, 56, 120, 170
214, 52, 120, 170
215, 49, 120, 170
216, 49, 120, 170
217, 48, 120, 170
217, 48, 120, 170
219, 45, 120, 170
221, 42, 120, 170
223, 40, 120, 170
225, 39, 120, 170
226, 39, 120, 170
227, 38, 120, 170
228, 38, 120, 170
227, 41, 120, 170
226, 45, 120, 170
226, 46, 120, 170
225, 52, 120, 170
224, 60, 120, 170
223, 68, 120, 170
222, 74, 120, 170
222, 75, 120, 170
222, 76, 120, 170
222, 75, 120, 170
222, 73, 120, 170
